Entry,Name,Level,Health,Mana,Armor,Copper,Holy,Fire,Nature,Frost,Shadow,Arcane
246,"""Auntie"" Bernice Stonefield",6,196,0,165,0,0,0,0,0,0,0
6626,"""Plucky"" Johnson",1,64,0,8,0,0,0,0,0,0,0
6666,"""Plucky"" Johnson's Human Form",1,5000,0,8,0,0,0,0,0,0,0
2545,"""Pretty Boy"" Duncan",39,1672,0,1808,94,0,0,0,0,0,0
2501,"""Sea Wolf"" MacKinley",44,2868,0,2528,0,0,0,0,0,0,0
2502,"""Shaky"" Phillipe",44,2868,0,2528,0,0,0,0,0,0,0
3229,"""Squealer"" Thornmantle",5,116,0,111,9,0,0,0,0,0,0
4880,"""Stinky"" Ignatz",35,2016,0,1349,0,0,0,0,0,0,0
4792,"""Swamp Eye"" Jarl",42,2666,0,2218,0,0,0,0,0,0,0
14224,7:XT Long Distance Recovery Unit,41,1564,0,2074,91,0,0,0,0,0,0
17689,Crown Guard Capture Quest Doodad,1,0,0,8,0,0,0,0,0,0,0
17690,Eastwall Capture Quest Doodad,1,0,0,8,0,0,0,0,0,0,0
17696,Northpass Capture Quest Doodad,1,0,0,8,0,0,0,0,0,0,0
17698,Plaguewood Capture Quest Doodad,1,0,0,8,0,0,0,0,0,0,0
8887,A tormented voice,50,8,0,2966,0,0,0,0,0,0,0
9623,A-Me 01,48,3294,0,2857,0,0,0,0,0,0,0
810,Aaron,1,64,0,8,0,0,0,0,0,0,0
3967,Aayndia Floralwind Expert Leatherworker,37,1526,0,1568,0,0,0,0,0,0,0
2135,Abe Winters Apprentice Armorer,12,500,0,562,0,0,0,0,0,0,0
289,Abercrombie The Hermit,35,2016,0,1349,0,0,0,0,0,0,0
4604,Abigail Sawyer Bow Merchant,30,1605,0,1179,0,0,0,0,0,0,0
2118,Abigail Shiel Trade Supplies,9,372,0,387,0,0,0,0,0,0,0
11105,Aboda Stable Master,29,1528,0,1145,0,0,0,0,0,0,0
14229,Accursed Slitherblade,35,1342,0,1349,79,0,0,0,0,0,0
5933,Achellios the Banished,31,1250,0,1213,71,0,0,0,0,0,0
4393,Acidic Swamp Ooze,41,1897,0,3111,97,0,0,0,0,0,100
5386,Acolyte Dellis,15,644,0,665,0,0,0,0,0,0,0
6253,Acolyte Fenrick,20,919,1202,701,0,0,0,0,0,0,0
6252,Acolyte Magaz,20,919,1202,701,0,0,0,0,0,0,0
6267,Acolyte Porena,20,919,1202,701,0,0,0,0,0,0,0
6254,Acolyte Wytula,20,919,1202,701,0,0,0,0,0,0,0
1316,Adair Gilroy Librarian,60,3857,0,3750,0,0,0,0,0,0,0
1366,Adam,1,64,0,8,0,0,0,0,0,0,0
12658,Adam Lind,20,919,0,836,76,0,0,0,0,0,0
3300,Adder,1,64,0,11,0,0,0,0,0,0,0
6221,Addled Leper,25,593,0,1008,47,0,0,0,0,0,0
1632,Adele Fielder Journeyman Leatherworker,22,1042,0,906,0,0,0,0,0,0,0
4948,Adjutant Tesoran,35,2016,0,1349,0,0,0,0,0,0,0
829,Adlin Pridedrift General Supplies,5,166,0,111,0,0,0,0,0,0,0
740,Adolescent Whelp,35,983,2680,1124,66,0,0,0,0,105,0
11706,Adon,60,3857,0,3750,0,0,0,0,0,0,0
5704,Adrian Bartlett,20,919,0,836,0,0,0,0,0,0,0
