Class,Spec,Score,Max,Parses
Warrior,DPS,71.95,176.62,86344
Rogue,DPS,62.06,139.9,31975
Mage,Fire,55.59,159.01,45970
Hunter,DPS,42.3,83.08,12590
Shaman,Enhancement,38.73,51.99,244
Warlock,DPS,38.04,109.02,17508
Druid,Feral,37.38,69.85,782
Shaman,Elemental,35.78,65.81,792
Druid,Balance,27.48,42.25,513
Priest,DPS,21.87,42.12,2174
Paladin,DPS,18.74,47.89,449
Mage,Frost,12.12,56.21,1151
Warrior,Tank,32.06,102.46,24758
Druid,Tank,17.8,42.05,1327
Paladin,Tank,12.46,15.23,116
Priest,Healer,0.18,9.54,47427
Druid,Healer,0.13,7.57,12473
Shaman,Healer,0.1,6.23,29578
Paladin,Healer,0.04,5.91,17270
