"","region","city","n","lat","long"
"1","AL","Pellcity",1,NA,NA
"2","AL","Spanishfort",1,NA,NA
"3","AZ","Apachejunction",1,NA,NA
"4","AZ","Bullheadcity",1,NA,NA
"5","AZ","Casagrande",1,NA,NA
"6","AZ","Greenvalley",1,NA,NA
"7","AZ","Orovalley",1,NA,NA
"8","AZ","Showlow",1,NA,NA
"9","AZ","Sierravista",1,NA,NA
"10","AR","Fortsmith",1,NA,NA
"11","AR","Littlerock",1,NA,NA
"12","AR","Northlittlerock",1,NA,NA
"13","CA","Applevalley",1,NA,NA
"14","CA","Bakersfiled",1,NA,NA
"15","CA","Baldwinpark",1,NA,NA
"16","CA","Buenapark",1,NA,NA
"17","CA","Cathedralcity",1,NA,NA
"18","CA","Chinohills",1,NA,NA
"19","CA","Chulavista",2,NA,NA
"20","CA","Citrusheights",1,NA,NA
"21","CA","Costamesa",1,NA,NA
"22","CA","Culvercity",1,NA,NA
"23","CA","Dalycity",2,NA,NA
"24","CA","Elcajon",3,NA,NA
"25","CA","Elcentro",2,NA,NA
"26","CA","Elcerrito",1,NA,NA
"27","CA","Elkgrove",2,NA,NA
"28","CA","Fountainvalley",1,NA,NA
"29","CA","Jurupavalley",1,NA,NA
"30","CA","Lahabra",1,NA,NA
"31","CA","Lamesa",1,NA,NA
"32","CA","Laverne",1,NA,NA
"33","CA","Laderaranch",1,NA,NA
"34","CA","Lakeelsinore",2,NA,NA
"35","CA","Longbeach",1,NA,NA
"36","CA","Losangeles",7,NA,NA
"37","CA","Marinadelrey",1,NA,NA
"38","CA","Missionviejo",1,NA,NA
"39","CA","Morenovalley",1,NA,NA
"40","CA","Morganhill",1,NA,NA
"41","CA","Nationalcity",2,NA,NA
"42","CA","Pasorobles",1,NA,NA
"43","CA","Picorivera",2,NA,NA
"44","CA","Pleasanthill",1,NA,NA
"45","CA","Ranchocucamonga",1,NA,NA
"46","CA","Redwoodcity",1,NA,NA
"47","CA","Rohnertpark",1,NA,NA
"48","CA","Rollinghillsestates",1,NA,NA
"49","CA","Sanbernardino",1,NA,NA
"50","CA","Sanclemente",1,NA,NA
"51","CA","Sanjose",5,NA,NA
"52","CA","Sanluisobispo",1,NA,NA
"53","CA","Sanmateo",1,NA,NA
"54","CA","Sanrafael",1,NA,NA
"55","CA","Sanramon",1,NA,NA
"56","CA","Sandcity",1,NA,NA
"57","CA","Santaana",1,NA,NA
"58","CA","Santaclarita",2,NA,NA
"59","CA","Santacruz",1,NA,NA
"60","CA","Santamaria",1,NA,NA
"61","CA","Santarosa",2,NA,NA
"62","CA","Simivalley",1,NA,NA
"63","CA","Thousandoaks",1,NA,NA
"64","CA","Westcovina",1,NA,NA
"65","CA","Woodlandhills",1,NA,NA
"66","CA","Yubacity",1,NA,NA
"67","CO","Coloradosprings",5,NA,NA
"68","CO","Fortcollins",2,NA,NA
"69","CO","Glenwoodsprings",1,NA,NA
"70","CO","Grandjunction",2,NA,NA
"71","FL","Altamontesprings",1,NA,NA
"72","FL","Avonpark",1,NA,NA
"73","FL","Bocaraton",1,NA,NA
"74","FL","Boyntonbeach",1,NA,NA
"75","FL","Coralsprings",1,NA,NA
"76","FL","Dadecity",1,NA,NA
"77","FL","Daytonabeach",1,NA,NA
"78","FL","Delraybeach",1,NA,NA
"79","FL","Fortmyers",1,NA,NA
"80","FL","Fortwaltonbeach",1,NA,NA
"81","FL","Hallandalebeach",1,NA,NA
"82","FL","Jacksonvillebeach",1,NA,NA
"83","FL","Jensenbeach",1,NA,NA
"84","FL","Lakecity",1,NA,NA
"85","FL","Lakemary",1,NA,NA
"86","FL","Merrittisland",1,NA,NA
"87","FL","Northfortmyers",1,NA,NA
"88","FL","Oaklandpark",1,NA,NA
"89","FL","Orangecity",1,NA,NA
"90","FL","Orangepark",1,NA,NA
"91","FL","Palmbeachgardens",1,NA,NA
"92","FL","Palmharbor",1,NA,NA
"93","FL","Panamacity",1,NA,NA
"94","FL","Panamacitybeach",1,NA,NA
"95","FL","Pembrokepines",1,NA,NA
"96","FL","Plantcity",1,NA,NA
"97","FL","Portcharlotte",1,NA,NA
"98","FL","Portrichey",1,NA,NA
"99","FL","Portstlucie",1,NA,NA
"100","FL","Royalpalmbeach",1,NA,NA
"101","FL","Southmiami",1,NA,NA
"102","FL","Springhill",1,NA,NA
"103","FL","Staugustine",1,NA,NA
"104","FL","Stcloud",1,NA,NA
"105","FL","Stpetersburg",3,NA,NA
"106","FL","Verobeach",1,NA,NA
"107","FL","Westmelbourne",1,NA,NA
"108","FL","Westpalmbeach",1,NA,NA
"109","FL","Wintergarden",1,NA,NA
"110","FL","Winterhaven",1,NA,NA
"111","GA","Warnerrobins",1,NA,NA
"112","ID","Coeurdalene",1,NA,NA
"113","ID","Idahofalls",1,NA,NA
"114","ID","Twinfalls",1,NA,NA
"115","IL","Arlingtonheights",1,NA,NA
"116","IL","Crystallake",1,NA,NA
"117","IL","Desplaines",1,NA,NA
"118","IL","Downersgrove",1,NA,NA
"119","IL","Eastpeoria",1,NA,NA
"120","IL","Fairviewheights",2,NA,NA
"121","IL","Granitecity",1,NA,NA
"122","IL","Lovespark",1,NA,NA
"123","IL","Melrosepark",1,NA,NA
"124","IL","Orlandpark",1,NA,NA
"125","IL","Roundlakebeach",1,NA,NA
"126","IL","Southbarrington",1,NA,NA
"127","IL","Vernonhills",1,NA,NA
"128","IN","Fortwayne",2,NA,NA
"129","IN","Michigancity",1,NA,NA
"130","IN","Southbend",1,NA,NA
"131","IN","Terrehaute",1,NA,NA
"132","IA","Cedarrapids",1,NA,NA
"133","IA","Councilbluffs",1,NA,NA
"134","IA","Desmoines",1,NA,NA
"135","IA","Iowacity",1,NA,NA
"136","IA","Siouxcity",1,NA,NA
"137","IA","Westdesmoines",1,NA,NA
"138","KS","Gardencity",1,NA,NA
"139","KY","Bowlinggreen",1,NA,NA
"140","LA","Batonrouge",2,NA,NA
"141","LA","Bossiercity",1,NA,NA
"142","LA","Lakecharles",1,NA,NA
"143","LA","Neworleans",1,NA,NA
"144","LA","Westmonroe",1,NA,NA
"145","ME","Southportland",1,NA,NA
"146","MD","Glenburnie",1,NA,NA
"147","MD","Oceancity",1,NA,NA
"148","MD","Owingsmills",1,NA,NA
"149","MD","Princefrederick",1,NA,NA
"150","MD","Severnapark",1,NA,NA
"151","MD","Silverspring",1,NA,NA
"152","MA","Eastwalpole",1,NA,NA
"153","MA","Northattleborough",1,NA,NA
"154","MA","Northbillerica",1,NA,NA
"155","MI","Annarbor",1,NA,NA
"156","MI","Battlecreek",1,NA,NA
"157","MI","Baycity",1,NA,NA
"158","MI","Bentonharbor",1,NA,NA
"159","MI","Bigrapids",1,NA,NA
"160","MI","Farmingtonhills",1,NA,NA
"161","MI","Fortgratiot",1,NA,NA
"162","MI","Grandrapids",1,NA,NA
"163","MI","Madisonheights",1,NA,NA
"164","MI","Rochesterhills",1,NA,NA
"165","MI","Traversecity",1,NA,NA
"166","MN","Applevalley",1,NA,NA
"167","MN","Brooklynpark",1,NA,NA
"168","MN","Edenprairie",1,NA,NA
"169","MN","Elkriver",1,NA,NA
"170","MN","Maplegrove",1,NA,NA
"171","MN","Northbranch",1,NA,NA
"172","MN","Saintcloud",1,NA,NA
"173","MS","Oceansprings",1,NA,NA
"174","MO","Capegirardeau",1,NA,NA
"175","MO","Crystalcity",1,NA,NA
"176","MO","Desperes",1,NA,NA
"177","MO","Jeffersoncity",1,NA,NA
"178","MO","Kansascity",3,NA,NA
"179","MO","Lakesaintlouis",1,NA,NA
"180","MO","Leessummit",1,NA,NA
"181","MO","Saintjoseph",1,NA,NA
"182","MO","Saintpeters",1,NA,NA
"183","MO","Stlouis",1,NA,NA
"184","MT","Greatfalls",1,NA,NA
"185","NE","Grandisland",1,NA,NA
"186","NV","Carsoncity",1,NA,NA
"187","NV","Lasvegas",10,NA,NA
"188","NV","Northlasvegas",1,NA,NA
"189","NH","Westlebanon",1,NA,NA
"190","NJ","Barnegattownship",1,NA,NA
"191","NJ","Cherryhill",1,NA,NA
"192","NJ","Cherryhilltownship",1,NA,NA
"193","NJ","Eastbrunswick",1,NA,NA
"194","NJ","Eggharbortownship",1,NA,NA
"195","NJ","Lawrencetownship",1,NA,NA
"196","NJ","Mayslanding",1,NA,NA
"197","NJ","Mtlaurel",1,NA,NA
"198","NJ","Northbrunswick",1,NA,NA
"199","NJ","Oldbridge",1,NA,NA
